file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0228_0410_3376110_to_3382721,དེ་ཚོ་བསམ་བློ་བཏང་ནས་རཱ། སོ་སོ་ཡག་པོ་བྱེད་སློབ་སྦྱོང་ཡག་པོ་བྱེད། དེ་ཚོ་ལ་ཞེ་དྲག་ཞེ་དྲག་བསམ་དགོས་མ་རེད་ཟེར་རཱ། ཨོ་འདི་ལམ་སྙིང་བྲོ་སོང་།  ,de tsho bsam blo btang nas rA/_so so yag po byed slob sbyong yag po byed/_de tsho la zhe drag zhe drag bsam dgos ma red zer rA/_o 'di lam snying bro song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0228_0410_3376110_to_3382721.wav,STT_NS,3,136,6.611,wav16k/STT_NS_M0228_0410_3376110_to_3382721.wav,དེ་ཚོ་བསམ་བློ་བཏང་ནས་རཱ། སོ་སོ་ཡག་པོ་བྱས། སློབ་སྦྱོང་ཡག་པོ་བྱེད། དེ་ཚོ་ལ་ཞེ་དྲག་ཞེ་དྲག་བསམ་དགོས་མ་རེད་ཟེར་རཱ། ཨོ་དེ་ལབ་སྙིང་བྲོ་སོང་།
STT_NS_M0219_0389_3629172_to_3631595,འབྲས་འབྲས་མཉམ་དུ་པག་ཡ། པག་ཡ་ཡ་ཡུད་ཕྱུག་པོ་འདུག ,'bras 'bras mnyam du pag ya/_pag ya ya yud phyug po 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0219_0389_3629172_to_3631595.wav,STT_NS,3,47,2.423,wav16k/STT_NS_M0219_0389_3629172_to_3631595.wav,འབྲས་འབྲས་མཉམ་དུ་ལ་པག་ཡ་པག་ཡ་ཡ་ཡུད་ཕྱུག་པོ་འདུག
STT_TT00303_368.700-369.950,སོ་སོས་དེ་བ་འཚོ་བ་རེད་ཅིག ,so sos de ba 'tsho ba red cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00303_368.700-369.950.wav,STT_TT,3,26,1.25,wav16k/STT_TT00303_368.700-369.950.wav,སོ་སོས་དེ་བ་འཚོ་བ་རེད་ཅིག
STT_TT00302_662.500-663.300,དེ་འདྲའི་སེ་བྱས་ནས་དཀའ་ལས་བརྒྱབ།  ,de 'dra'i se byas nas dka' las brgyab/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00302_662.500-663.300.wav,STT_TT,3,34,0.7999999999999545,wav16k/STT_TT00302_662.500-663.300.wav,དེ་འདྲས་བྱས་ནས་དཀའ་ལས་རྒྱབ་ན།
STT_TT00300_00092.850-00096.550,དཔེར་ན་པུ་གུ་སློབ་གྲྭ་གཏོང་ཡ་དེ། ང་ཚོ་པུ་གུ་སོ་སོའི་ངོས་ནས་ཡང་། སློབ་སྦྱོང་ཧུར་ཐག་འབད་ཐག་བྱེད།  ,dper na pu gu slob grwa gtong ya de/_nga tsho pu gu so so'i ngos nas yang /_slob sbyong hur thag 'bad thag byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00300_00092.850-00096.550.wav,STT_TT,3,96,3.700000000000003,wav16k/STT_TT00300_00092.850-00096.550.wav,དཔེར་ན་ པུ་གུ་སློབ་གྲྭ་གཏོང་ཡ་དེ་ང་ཚོ་པུ་གུ་སོ་སོའི་ངོས་ནས་སློབ་སྦྱོང་ཧུར་ཐག་འབད་ཐག་བྱས།
STT_TT00301_721.700-724.150,ད་ང་ཚོ་ལྐུགས་པ་མ་རེད། ལྐུགས་པ་ཡིན་པ་ཡིན་ན་ཡང་ཁག་པོ་ཡོད་རེད་ ,da nga tsho lkugs pa ma red/_lkugs pa yin pa yin na yang khag po yod red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00301_721.700-724.150.wav,STT_TT,3,60,2.449999999999932,wav16k/STT_TT00301_721.700-724.150.wav,ད་ང་ཚོ་ལྐུགས་པ་མ་རེད། ལྐུགས་པ་ཡིན་པ་ཡིན་ན་ཡང་ལཁུག་པོ་ཡོད་རེད།
STT_TT00305_173.350-175.800,ད་འདི་ཁེ་བཟང་ཏིག་ཙི་རག་རོགས་བྱས་ན། ཨེ་ནས་ཡང་དགོང་དག་ཤ་ཉོས།  ,da 'di khe bzang tig tsi rag rogs byas na/_e nas yang dgong dag sha nyos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00305_173.350-175.800.wav,STT_TT,3,60,2.450000000000017,wav16k/STT_TT00305_173.350-175.800.wav,ད་འདི་ཁེ་བཟང་ཏོག་ཙི་རག་རོགས་བྱས། ཨེ་ནས་ཡང་དགོང་དག་ཤ་ཡོང་།
STT_TT00304_459.350-460.200,སྡུག་བསྔལ། དཀའ་ངལ།  ,sdug bsngal/_dka' ngal/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00304_459.350-460.200.wav,STT_TT,3,20,0.8499999999999659,wav16k/STT_TT00304_459.350-460.200.wav,སྡུག་བསྔལ་དཀའ་ངལ།
STT_TT00301_281.950-283.700,ཨེ་ནས་ཤིང་བཀོག་ག་འགྲོ་དུས། ཚུར་ཕྱོགས་དེ་འཁྱེར།  ,e nas shing bkog ga 'gro dus/_tshur phyogs de 'khyer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00301_281.950-283.700.wav,STT_TT,3,48,1.75,wav16k/STT_TT00301_281.950-283.700.wav,ཨེ་ནས་ཤིང་བསྐོག་ཁང་འགྲོ་དུས་ ཚུར་ཕྱོགས་དེར་འཁྱེར།
STT_TT00300_00634.300-00635.150,ཅིག་བལྟ་གར་ཡོང་གི་ཡོད་རེད་བ།  ,cig blta gar yong gi yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00300_00634.300-00635.150.wav,STT_TT,3,30,0.8500000000000227,wav16k/STT_TT00300_00634.300-00635.150.wav,དི་ལྟ་ག་ཡོང་གི་ཡོད་རེད་བ།
